id,entity_id,entity_label,relation_id,relation_label,question,span
41,Q10280325,Fausto Fawcett,P21,sex or gender,what is fausto fawcett's gender,"[0, 0, 1, 1, 0]"
42,Q154194,Generation Kill,P136,genre,what type of film is generation kill,"[0, 0, 0, 0, 0, 1, 1]"
43,Q1075868,Chokoloskee,P131,located in the administrative territorial entity,"What county has jurisdiction over chokoloskee, florida","[0, 0, 0, 0, 0, 1, 0]"
44,Q6221698,John Berry,P27,country of citizenship,which country is john berry from ,"[0, 0, 0, 1, 1, 0]"
45,Q13636457,Home,P136,genre,What kind of book is home?,"[0, 0, 0, 0, 0, 1]"
46,Q5174096,Cosmic Ray,P495,country of origin,what country is cosmic ray from,"[0, 0, 0, 1, 1, 0]"
47,Q29172,Zou Department,P150,contains the administrative territorial entity,what is the administrative child of zou?,"[0, 0, 0, 0, 0, 0, 1]"
48,Q4707525,Alan Pierson,P21,sex or gender,What is Alan Pierson's gender?,"[0, 0, 1, 1, 0]"
49,Q66832,Franz Roh,P27,country of citizenship,What was the nationality of  franz roh,"[0, 0, 0, 0, 0, 1, 1]"
50,Q336167,Huron County,P131,located in the administrative territorial entity,what is a city located in huron county,"[0, 0, 0, 0, 0, 0, 1, 1]"
51,Q93204,documentary film,P136,genre,What is an example of a documentary film?,"[0, 0, 0, 0, 0, 0, 1, 1]"
52,Q580,Łódź,P19,place of birth,What actor was born in lodz,"[0, 0, 0, 0, 0, 0]"
53,Q1090769,8668 Satomimura,P196,minor planet group,what member of asteroid group is 8668 satomimura a part of ,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
54,Q5363152,Elizabeth Malecki,P21,sex or gender,What gender is elizabeth malecki,"[0, 0, 0, 1, 1]"
55,Q974466,James Gillespie,P119,place of burial,where was  james gillespie buried,"[0, 0, 1, 1, 0]"
56,Q1342,Pittsburgh,P19,place of birth,who was born in pittsburgh,"[0, 0, 0, 0, 1]"
57,Q17361420,Lanie Balcom,P21,sex or gender,lannie balcom self-identifies as which gender? ,"[0, 1, 0, 0, 0, 0]"
58,Q7351133,Robert Williams,P413,position played on team / speciality,which position does robert williams play in american football,"[0, 0, 0, 1, 1, 0, 0, 0, 0]"
59,Q6607,guitar,P1303,instrument,who is an instrumentalist that plays the guitar,"[0, 0, 0, 0, 0, 0, 0, 1]"
60,Q7723204,The City in the Autumn Stars,P50,author,Who wrote the book the city in the autumn stars,"[0, 0, 1, 0, 1, 1, 1, 1, 1, 1]"
61,Q193752,John of Gaunt,P40,child,"Who was a parent of john of gaunt, 1st duke of lancaster","[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0]"
62,Q5106113,Chris Cash,P27,country of citizenship,chris cash is what nationality,"[1, 1, 0, 0, 0]"
63,Q2377261,The Law Is the Law,P364,original language of film or TV show,in what language is the the law is the law film spoken,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0]"
64,Q718562,6945 Dahlgren,P61,discoverer or inventor,who discovered 6945 dahlgren,"[0, 0, 1, 1]"
65,Q5497332,Frederick Baldwin Adams,P27,country of citizenship,Where is frederick baldwin adams from?,"[0, 0, 1, 1, 1, 0]"
66,Q133032,Hungarians,P172,ethnic group,Who's a hungarian model,"[0, 0, 0, 0]"
67,Q16223459,Joshua Smith,P21,sex or gender,what is joshua smith's gender,"[0, 0, 1, 1, 0]"
68,Q7294392,Rapture Ruckus,P264,record label,What label is rapture ruckus  signed to,"[0, 0, 0, 1, 1, 0, 0]"
69,Q3728410,Rob Schmidt,P57,director,Which film did rob schmidt direct?,"[0, 0, 0, 1, 1, 0]"
70,Q13156,Montilla,P19,place of birth,Name a person born in montilla,"[0, 0, 0, 0, 0, 1]"
71,Q724154,Mr. Hankey's Christmas Classics,P57,director,who was the director of mr. hankey's christmas classics ,"[0, 0, 0, 0, 0, 1, 1, 1, 1]"
72,Q98643,Ottilie Assing,P27,country of citizenship,Where is ottilie assing from?,"[0, 0, 1, 1, 0]"
73,Q189059,Mytilene,P19,place of birth,Name someone who was born in mytilene,"[0, 0, 0, 0, 0, 0, 1]"
74,Q130232,drama film,P136,genre,what is a film in the genre drama,"[0, 0, 0, 1, 0, 0, 0, 1]"
75,Q7194357,Pilot,P179,part of the series,Which series has a pilot episode?,"[0, 0, 0, 0, 1, 0]"
76,Q200092,horror film,P136,genre,what is a horror film?,"[0, 0, 0, 1, 1]"
77,Q7605291,Stealing a Nation,P495,country of origin,what country does the film stealing a nation take place in,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]"
78,Q5042233,Carlos Johnson,P136,genre,which type of music genre does carlos johnson play in?,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
79,Q786545,Thomas Sully,P19,place of birth,Which town was thomas sully born? ,"[0, 0, 0, 1, 1, 0]"
80,Q3194914,Kelly Shoppach,P413,position played on team / speciality,What position does kelly shoppach play in baseball,"[0, 0, 0, 1, 1, 0, 0, 0]"
81,Q568123,Dracula,P136,genre,what kind of movie is dracula?,"[0, 0, 0, 0, 0, 1]"
82,Q82955,politician,P106,occupation,"what is politician is founder and chairperson of Queens University, Bangladesh","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
83,Q18648361,Film life goes on,P364,original language of film or TV show,What language is spoken in the film life goes on,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
84,Q312782,Bob Woodward,P40,child,who is the parent of bob woodward?,"[0, 0, 0, 0, 0, 1, 1]"
85,Q2422991,Knight Lore,P136,genre,what kind of game is knight lore,"[0, 0, 0, 0, 0, 1, 1]"
86,Q269585,Gregory La Cava,P57,director,what film does gregory la cava direct?,"[0, 0, 0, 1, 1, 1, 0]"
87,Q2662148,Celtic rock,P136,genre,what artist makes celtic rock?,"[0, 0, 0, 1, 1]"
88,Q2883930,Barbara Cook,P19,place of birth,What is the place of barbara cook's birth?,"[0, 0, 0, 0, 0, 1, 1, 0]"
89,Q4346512,Claire Stansfield,P27,country of citizenship,What is Claire Stansfield's nationality?,"[0, 0, 1, 1, 0]"
90,Q124112,Michel Simon,P509,cause of death,What was the cause of death of michel simon,"[0, 0, 0, 0, 0, 0, 0, 1, 1]"
91,Q41548,Antonio Banderas,P27,country of citizenship,What is the nationality of antonio banderas,"[0, 0, 0, 0, 0, 1, 1]"
92,Q2577628,Willy Wild,P27,country of citizenship,which country is willi wild from,"[0, 0, 0, 0, 1, 0]"
93,Q598834,Criciúma Esporte Clube,P641,sport,What sport is criciúma esporte clube a part of?,"[0, 0, 0, 1, 1, 1, 0, 0, 0]"
94,Q4680824,Adario Strange,P21,sex or gender,is adario strange male or female,"[0, 1, 1, 0, 0, 0]"
95,Q559514,Wittlich,P19,place of birth,Who is someone born in wittlich,"[0, 0, 0, 0, 0, 1]"
96,Q12214,smallpox,P509,cause of death,which historical figure was killed by smallpox,"[0, 0, 0, 0, 0, 0, 1]"
97,Q7091435,On the Nickel,P136,genre,what genre is the film on the nickel,"[0, 0, 0, 1, 0, 1, 1, 1]"
98,Q104994,Los Angeles County,P131,located in the administrative territorial entity,"What is the name of a place located in los angeles county, california","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]"
99,Q3294052,Mark DiFelice,P413,position played on team / speciality,What is mark difelice position ,"[0, 0, 1, 1, 0]"
100,Q428672,Shmuel Salant,P19,place of birth,which city was shmuel salant born,"[0, 0, 0, 1, 1, 0]"
101,Q7637680,Summertide,P50,author,who authored summertide,"[0, 0, 1]"
102,Q7365833,Ronnie Burns,P20,place of death,Which city did ronnie burns die in,"[0, 0, 0, 1, 1, 0, 0]"
103,Q13582652,civil engineer,P106,occupation,Name an english civil engineer,"[0, 0, 0, 1, 1]"
104,Q503538,Towns County,P138,named after,Who was towns county named after,"[0, 0, 1, 1, 0, 0]"
105,Q8058931,Your Show Time,P495,country of origin,where did the tv program your show time originate from?,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0]"
106,Q766445,Okinawa Prefecture,P19,place of birth,what woman was born in okinawa prefecture,"[0, 0, 0, 0, 0, 1, 1]"
107,Q6656486,Live at Tin Angel,P175,performer,Who is the album live at tin angel by,"[0, 0, 0, 0, 1, 1, 1, 1, 0]"
108,Q4308215,John Moores,P21,sex or gender,What is john moores's gender?,"[0, 0, 1, 1, 0]"
109,Q4729974,All for a Girl,P136,genre,What type of film is all for a girl?,"[1, 0, 0, 0, 0, 1, 1, 1, 1]"
110,Q956355,Diamond,P19,place of birth,Who was born in diamond?,"[0, 0, 0, 0, 1]"
111,Q910695,March or Die,P136,genre,What type of film is march or die,"[0, 0, 0, 0, 0, 1, 1, 1]"
112,Q3519134,Masada: Tet,P136,genre,Where kind of album is tet,"[0, 0, 0, 0, 0, 1]"
113,Q5389642,Erkan Sulejmani,P413,position played on team / speciality,What position does footballer erkan sulejmani play?,"[0, 0, 0, 0, 1, 1, 0]"
114,Q153868,4384 Henrybuhl,P397,parent astronomical body,what does (4384) 1990 aa orbit around?,"[0, 0, 1, 0, 0, 0, 0]"
115,Q1213408,Péter Müller,P21,sex or gender,What is the sex of péter müller,"[0, 0, 0, 0, 0, 1, 1]"
116,Q15486802,David Kirby,P27,country of citizenship,What was the nationality of david kirby,"[0, 0, 0, 0, 0, 1, 1]"
117,Q1572362,It Was the Best of Times,P175,performer,who is the singer of it was the best of times,"[0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
118,Q3282054,Malik Asselah,P413,position played on team / speciality,what is malik asselah's position in soccer?,"[0, 0, 1, 1, 0, 0, 0]"
119,Q7175853,Peter Menzies,P344,director of photography,what film did peter menzies jr. do cinematography for,"[0, 0, 0, 1, 1, 0, 0, 0, 0]"
120,Q7328528,Richard Pryor: Live on the Sunset Strip,P364,original language of film or TV show,what language is richard pryor: live on the sunset strip in ,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0]"
121,Q4790844,Aris T. Allen,P27,country of citizenship,What country is aris t. allen from?,"[0, 0, 0, 1, 1, 1, 0]"
122,Q1893261,Marcell Takács,P413,position played on team / speciality,what position does marcell takács play in soccer?,"[0, 0, 0, 1, 1, 0, 0, 0]"
123,Q1041909,Carlo Boszhard,P21,sex or gender,What is carlo boszhard's gender,"[0, 0, 1, 1, 0]"
124,Q36180,writer,P106,occupation,what British science fiction author and writer specializes in dark hard science fiction and space opera?,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
125,Q1292432,Terry Carr,P50,author,what is one of terry carrs written works,"[0, 0, 0, 0, 1, 1, 0, 0]"
126,Q65,Los Angeles,P19,place of birth,Which famous cinematographer was born in los angeles?,"[0, 0, 0, 0, 0, 0, 1, 1]"
127,Q583470,Steve Walsh,P27,country of citizenship,What is steve walsh's nationality?,"[0, 0, 1, 1, 0]"
128,Q76579,Georgius Agricola,P27,country of citizenship,what is the nationality of georgius agricola,"[0, 0, 0, 0, 0, 1, 1]"
129,Q7820891,Tonet,P19,place of birth,in what country was tonet born,"[0, 0, 0, 0, 1, 0]"
130,Q7091297,On the Beat!,P136,genre,what kind of music is on on the beat!,"[0, 0, 0, 0, 0, 1, 1, 1, 1]"
131,Q401383,Ahmed Marcouch,P106,occupation,What is Ahmed Marcouch's profession?,"[0, 0, 1, 1, 0]"
132,Q7328281,Richard Parnell Habersham,P106,occupation,what is the profession of richard parnell habersham,"[0, 0, 0, 0, 0, 1, 1, 1]"
133,Q7743116,The Jerky Boys: The Movie,P272,production company,WHich production company did the jerky boys: the movie,"[0, 0, 0, 0, 1, 1, 1, 1, 1]"
134,Q1645442,Portlandia,P364,original language of film or TV show,what language is portlandia written in,"[0, 0, 0, 1, 0, 0]"
135,Q3038,Heligoland,P19,place of birth,who is  a person that was born in  heligoland,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
136,Q35765,Osaka,P19,place of birth,what musician was born in osaka,"[0, 0, 0, 0, 0, 1]"
137,Q2964743,Chris Hume,P106,occupation,What is the profession of chris hume,"[0, 0, 0, 0, 0, 1, 1]"
138,Q3544737,Victor Basa,P19,place of birth,Where was victor basa born,"[0, 0, 1, 1, 0]"
139,Q3244733,Hayato Yano,P413,position played on team / speciality,what position did hayato yano play?,"[0, 0, 0, 1, 1, 0]"
140,Q281404,Kevin McCarthy,P20,place of death,Where was kevin mccarthy (actor)'s place of death?,"[0, 0, 1, 1, 0, 0, 0, 0]"
141,Q550265,3469 Bulgakov,P397,parent astronomical body,what star does  3469 bulgakov orbit,"[0, 0, 0, 1, 1, 0]"
142,Q3569503,Withlacoochee River,P403,mouth of the watercourse,What is at the mouth of the withlacoochee river?,"[0, 0, 0, 0, 0, 0, 0, 1, 1]"
143,Q146143,1933 Tinchen,P31,instance of,what type of celestial object is 1933 tinchen,"[0, 0, 0, 0, 0, 0, 1, 1]"
144,Q74939,Kurt Bolender,P20,place of death,Where did kurt bolender pass away,"[0, 0, 1, 1, 0, 0]"
145,Q7377158,Rudolf Brehmer,P607,conflict,in which conflict did rudolf brehmer participate ,"[0, 0, 0, 0, 1, 1, 0]"
146,Q1052054,Cayucos,P131,located in the administrative territorial entity,which county does cayucos belong to,"[0, 0, 0, 1, 0, 0]"
147,Q4315933,Darwan Singh Negi,P607,conflict,What war did darwan singh negi participate in,"[0, 0, 0, 1, 1, 1, 0, 0]"
148,Q11093,Valerie Solanas,P20,place of death,where did valerie solanas pass away,"[0, 0, 1, 1, 0, 0]"
149,Q7049742,Noon at Ngayon: Pagsasamang Kay Ganda,P495,country of origin,WHich nation filmed then and now,"[0, 1, 0, 0, 0, 0]"
150,Q55408,Hrishikesh Mukherjee,P57,director,what's the title of a hrishikesh mukherjee film,"[0, 0, 0, 0, 0, 1, 1, 0]"
151,Q4126954,Enemies Closer,P364,original language of film or TV show,what is the language of the film enemies closeri,"[0, 0, 0, 0, 0, 0, 0, 1, 1]"
152,Q390779,Arabella,P407,language of work or name,what language is arabella in?,"[0, 0, 0, 1, 0]"
153,Q3479672,Sergio Myers,P19,place of birth,What is Sergio Myers' place of birth?,"[0, 0, 1, 1, 0, 0, 0]"
154,Q83440,country music,P136,genre,What's a country album by johnny cash,"[0, 0, 1, 0, 0, 0, 0]"
155,Q12078,cancer,P509,cause of death,which johnny died from cancer,"[0, 0, 0, 0, 1]"
156,Q2623036,13792 Kuščynskyj,P31,instance of,What kind of celestial body is 13792 kuscynskyj,"[0, 0, 0, 0, 0, 0, 1, 0]"
157,Q603075,"Prince Alfonso de Bourbon, Duke of Cádiz",P140,religion or worldview,"which religion is alfonso, duke of anjou and cádiz","[0, 0, 0, 1, 1, 1, 0, 0, 1]"
158,Q749047,Haruki Kadokawa,P162,producer,what is a movie produced by haruki kadokawa,"[0, 0, 0, 0, 0, 0, 1, 1]"
159,Q4764669,Anil Sharma,P162,producer,what film did anil sharma produce ,"[0, 0, 0, 1, 1, 0]"
160,Q5002178,Buster Rhymes,P19,place of birth,What city was buster rhymes born in?,"[0, 0, 0, 1, 1, 0, 0]"
161,Q14950673,Joe Cusack,P21,sex or gender,what's joe cusack's gender,"[0, 1, 1, 0]"
162,Q2415347,Deadly Blessing,P495,country of origin,what country is deadly blessing from?,"[0, 0, 0, 1, 1, 0]"
163,Q1171556,Cradle Will Rock,P344,director of photography,who did the cinematography for the film cradle will rock,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
164,Q510397,Sandro Puppo,P21,sex or gender,is sandro puppo male or female,"[0, 1, 1, 0, 0, 0]"
165,Q41323,American football,P641,sport,Name an american football sports team,"[0, 0, 1, 1, 0, 0]"
166,Q39829,Stephen King,P58,screenwriter,What television series is an adaptation of a novel by stephen king?,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
167,Q1007,Guinea-Bissau,P421,located in time zone,which time zone is guinea-bissau in?,"[0, 0, 0, 0, 1, 0]"
168,Q262802,Christine Sinclair,P19,place of birth,Where in canada was christine sinclair born,"[0, 0, 0, 0, 1, 1, 0]"
169,Q4661277,Aaina,P57,director,who directed aaina?,"[0, 0, 1]"
170,Q3710055,Sergey Yablonsky,P20,place of death,which city did sergey yablonsky die,"[0, 0, 0, 1, 1, 0]"
171,Q3434241,Rob Townsend,P136,genre,What kind of music is rob townsend,"[0, 0, 0, 0, 0, 1, 1]"
172,Q208850,single-player video game,P404,game mode,Name a single-player video game,"[0, 0, 1, 1, 1]"
173,Q678437,Montclair,P19,place of birth,who was born in montclair,"[0, 0, 0, 0, 1]"
174,Q3794894,The Monster That Challenged the World,P136,genre,which genre does the film the monster that challenged the world belong to,"[0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0]"
175,Q860750,racing video game,P136,genre,What is an example of a racing game,"[0, 0, 0, 0, 0, 0, 1, 1]"
176,Q822413,Bernard Fanning,P264,record label,who is bernard fanning signed with,"[0, 0, 1, 1, 0, 0]"
177,Q13595311,Joel Coen,P58,screenwriter,What is a film that was written by joel coen?,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
178,Q809118,Barry Zito,P413,position played on team / speciality,What position does barry zito play?,"[0, 0, 0, 1, 1, 0]"
179,Q504463,Jan Svěrák,P172,ethnic group,What is jan svěrák's ethnicity?,"[0, 0, 1, 1, 0]"
180,Q1333364,Michael Baigent,P50,author,what did michael baigent write,"[0, 0, 1, 1, 0]"
181,Q167986,In Trance,P136,genre,what is the genre of the album in trance,"[0, 0, 0, 0, 0, 0, 0, 1, 1]"
182,Q2274654,Gremlin Interactive,P178,developer,What is a game developed by gremlin interactive?,"[0, 0, 0, 0, 0, 0, 1, 1]"
183,Q2903678,William McCutcheon,P19,place of birth,where was  william mccutcheon born,"[0, 0, 1, 1, 0]"
184,Q20438283,Mónika Veres,P27,country of citizenship,Where is mónika veres from,"[0, 0, 1, 1, 0]"
185,Q83440,country music,P136,genre,what are american country music bands,"[0, 0, 0, 1, 1, 0]"
186,Q1050571,catcher,P413,position played on team / speciality,what right handed baseball player was the braves' catcher,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
187,Q7993791,Whirl Tour,P136,genre,whirl tour is what type of video game?,"[1, 1, 0, 0, 0, 0, 0, 0]"
188,Q335080,Makoto Shinkai,P57,director,which film was  makoto shinkai the director of,"[0, 0, 0, 1, 1, 0, 0, 0]"
189,Q37333,Lublin,P19,place of birth,Who is an individual that was born in lublin,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
190,Q1792258,Kuno Popp,P20,place of death,where did kuno popp die,"[0, 0, 1, 1, 0]"
191,Q315540,"Archibald Wavell, 1st Earl Wavell",P607,conflict,"which military conflict did archibald wavell, 1st earl wavell participate in ","[0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0]"
192,Q3505570,Susan Herndon,P21,sex or gender,What is the gender of susan herndon,"[0, 0, 0, 0, 0, 1, 1]"
193,Q3212804,The seventh target,P136,genre,What style of film is the seventh target?,"[0, 0, 0, 0, 0, 1, 1, 1]"
194,Q732474,Harvey Kurtzman,P27,country of citizenship,which country is harvey kurtzman from,"[0, 0, 0, 1, 1, 0]"
195,Q14759972,The Enemy Inside,P86,composer,who wrote the enemy inside?,"[0, 0, 1, 1, 1]"
196,Q1230723,Louis-Gabriel-Charles Vicaire,P20,place of death,what city was louis-gabriel-charles vicaire born,"[0, 0, 0, 1, 1, 0]"
197,Q25089,Woody Allen,P57,director,what is one of woody allen's many films,"[0, 0, 0, 0, 1, 1, 0, 0]"
198,Q41621,Haifa,P19,place of birth,who was born in haifa?,"[0, 0, 0, 0, 1]"
199,Q15712790,Angelica di Silvestri,P27,country of citizenship,which country is angelica morrone di silvestri from,"[0, 0, 0, 1, 0, 1, 1, 0]"
200,Q941023,Eastern Time Zone,P421,located in time zone,what's the name of a town in the eastern daylight time zone,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
201,Q19204627,American football player,P106,occupation,Who is a famous american football player playing cornerback?,"[0, 0, 0, 0, 1, 1, 1, 0, 0]"
202,Q147921,Bitter Rice,P495,country of origin,where was the film bitter rice located,"[0, 0, 0, 0, 1, 1, 0]"
203,Q6390251,Kenneth J. Warren,P20,place of death,where did kenneth j. warren die,"[0, 0, 1, 1, 1, 0]"
204,Q740516,Conan the Destroyer,P136,genre,what is the genre of the film conan the destroyer,"[0, 0, 1, 0, 0, 1, 0, 1, 1, 1]"
205,Q1363729,Kumi Naidoo,P21,sex or gender,what is the sex of kumi naidoo,"[0, 0, 0, 0, 0, 1, 1]"
206,Q16252651,The Lone Wolf Keeps a Date,P364,original language of film or TV show,what language is spoken in the lone wolf keeps a date?,"[1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1]"
207,Q6895044,multiplayer video game,P404,game mode,what's a 2004 game that had a multiplayer program,"[0, 0, 0, 1, 0, 0, 0, 1, 0]"
208,Q668352,Calling All Cars!,P123,publisher,Who is the publisher on the videogame calling all cars!,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
209,Q7381049,Ruslan Sviridov,P27,country of citizenship,what country is ruslan sviridov from,"[0, 0, 0, 1, 1, 0]"
210,Q765783,HD 157819,P59,constellation,what constellation is hd 157819 in,"[0, 0, 0, 1, 1, 0]"
211,Q2756904,Yogi's Great Escape,P495,country of origin,which country in north america is the movie yogi's great escape from,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]"
212,Q7760093,The Rejected Woman,P495,country of origin,what country made the film  the rejected woman,"[0, 0, 0, 1, 0, 1, 1, 1]"
213,Q6390721,Kenneth Stover,P264,record label,Which label is kenneth stover on?,"[0, 0, 0, 1, 1, 0]"
214,Q6115262,Jack Soo,P20,place of death,where did jack soo die,"[0, 0, 1, 1, 0]"
215,Q1325288,Oeyo,P40,child,who is the son of oeyo,"[0, 0, 0, 0, 0, 1]"
216,Q696557,Bombing of Darwin,P276,location,Where did the bombing of darwin take place?,"[0, 0, 0, 1, 1, 1, 0, 0]"
217,Q16832088,Vidhya Unni,P21,sex or gender,Is vidhya unni a woman or man,"[0, 1, 1, 0, 0, 0, 0]"
218,Q716373,Phil Joanou,P57,director,Name a film directed by phil joanou,"[0, 0, 0, 0, 0, 1, 1]"
219,Q2965249,Christian Fabrice Okoua,P19,place of birth,where was christian fabrice okoua born,"[0, 0, 1, 1, 1, 0]"
220,Q7435072,The Clergyman,P364,original language of film or TV show,what language is the clergyman available in?,"[0, 0, 0, 1, 1, 0, 0]"
221,Q149305,2503 Liaoning,P397,parent astronomical body,around which celestial body does the 2503 liaoning asteroid moves around,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
222,Q170270,Friedrich Kalkbrenner,P106,occupation,What is the profession of friedrich kalkbrenner,"[0, 0, 0, 0, 0, 1, 1]"
